7zip 26.00-1
haskell-asn1-types 0.3.4-310
haskell-assoc 1.1.1-40
haskell-async 2.2.5-272
haskell-attoparsec 0.14.4-176
haskell-attoparsec-aeson 2.2.0.0-2
haskell-auto-update 0.1.6-450
haskell-base-compat 0.14.1-2
haskell-base-orphans 0.9.3-86
haskell-base-unicode-symbols 0.2.4.2-16
haskell-base16-bytestring 1.0.2.0-181
haskell-base64-bytestring 1.2.1.0-272
haskell-basement 0.0.16-4
haskell-bifunctors 5.6.2-59
haskell-bitvec 1.1.5.0-38
haskell-blaze-builder 0.4.4.1-27
haskell-blaze-html 0.9.2.0-104
haskell-blaze-markup 0.8.3.0-114
haskell-boring 0.2.2-2
haskell-bsb-http-chunked 0.0.0.4-498
haskell-byteorder 1.0.4-27
haskell-call-stack 0.4.0-384
haskell-case-insensitive 1.2.1.0-376
haskell-cassava 0.5.4.1-39
haskell-cborg 0.2.10.0-81
haskell-cereal 0.5.8.3-4
haskell-citeproc 0.8.1.1-79
haskell-cmdargs 0.10.22-4
haskell-colour 2.3.6-408
haskell-commonmark 0.2.6.1-8
haskell-commonmark-extensions 0.2.5.6-2
haskell-commonmark-pandoc 0.2.2.3-41
haskell-comonad 5.0.9-122
haskell-conduit 1.3.6.1-128
haskell-conduit-extra 1.3.8-71
haskell-constraints 0.14.2-81
haskell-contravariant 1.5.5-6
haskell-cookie 0.5.0-2
haskell-crypton 1.0.4-11
haskell-crypton-connection 0.4.5-21
haskell-crypton-socks 0.6.2-18
haskell-crypton-x509 1.7.7-66
haskell-crypton-x509-store 1.6.12-3
haskell-crypton-x509-system 1.6.7-138
haskell-crypton-x509-validation 1.6.14-54
haskell-data-default 0.7.1.3-34
haskell-data-default-class 0.1.2.2-2
haskell-data-default-instances-containers 0.1.0.3-4
haskell-data-default-instances-dlist 0.0.1.2-137
haskell-data-default-instances-old-locale 0.0.1.2-2
haskell-data-fix 0.3.4-144
haskell-dec 0.0.6-2
haskell-digest 0.0.2.1-2
haskell-distributive 0.6.2.1-415
haskell-djot 0.1.2.3-7
haskell-dlist 1.0-387
haskell-doclayout 0.5-11
haskell-doctemplates 0.11.0.1-71
haskell-easy-file 0.2.5-122
haskell-emojis 0.1.4.1-83
haskell-erf 2.0.0.0-27
haskell-fast-logger 3.2.4-36
haskell-file-embed 0.0.16.0-2
haskell-foldable1-classes-compat 0.1.2-58
haskell-generically 0.1.1-89
haskell-generics-sop 0.5.1.3-5
haskell-glob 0.10.2-192
haskell-gridtables 0.1.1.0-19
haskell-haddock-library 1.11.0-178
haskell-half 0.3.3-68
haskell-hashable 1.4.7.0-21
haskell-hourglass 0.2.12-347
haskell-hslua 2.3.0-198
haskell-hslua-aeson 2.3.1.1-46
haskell-hslua-classes 2.3.1-27
haskell-hslua-core 2.3.2-31
haskell-hslua-list 1.1.4-26
haskell-hslua-marshalling 2.3.1-138
haskell-hslua-module-doclayout 1.2.0-6
haskell-hslua-module-path 1.1.1-100
haskell-hslua-module-system 1.1.2-51
haskell-hslua-module-text 1.1.0.1-165
haskell-hslua-module-version 1.1.1-142
haskell-hslua-module-zip 1.1.3-44
haskell-hslua-objectorientation 2.3.1-46
haskell-hslua-packaging 2.3.1-148
haskell-hslua-repl 0.1.2-144
haskell-hslua-typing 0.1.1-140
haskell-http-api-data 0.6.1-40
haskell-http-client 0.7.19-55
haskell-http-client-tls 0.3.6.4-132
haskell-http-date 0.0.11-239
haskell-http-media 0.8.1.1-115
haskell-http-types 0.12.4-135
haskell-http2 5.1.0-11
haskell-hunit 1.6.2.0-427
haskell-indexed-traversable 0.1.4-177
haskell-indexed-traversable-instances 0.1.2-126
haskell-integer-conversion 0.1.1-55
haskell-integer-logarithms 1.0.4-144
haskell-iproute 1.7.15-85
haskell-ipynb 0.2-278
haskell-isocline 1.0.9-4
haskell-jira-wiki-markup 1.5.1-123
haskell-juicypixels 3.3.9-92
haskell-lexer 1.2-2
haskell-libyaml 0.1.4-156
haskell-lpeg 1.1.0-40
haskell-lua 2.3.4-3
haskell-memory 0.18.0-109
haskell-mime-types 0.1.2.0-4
haskell-mmorph 1.2.1-2
haskell-monad-control 1.0.3.1-270
haskell-mono-traversable 1.0.21.0-130
haskell-network 3.1.4.0-122
haskell-network-bsd 2.8.1.0-312
haskell-network-byte-order 0.1.7-4
haskell-network-control 0.1.3-17
haskell-network-uri 2.6.4.2-134
haskell-old-locale 1.0.0.7-33
haskell-old-time 1.1.0.4-5
haskell-onetuple 0.4.2-184
haskell-only 0.1-25
haskell-optparse-applicative 0.18.1.0-260
haskell-ordered-containers 0.2.4-101
haskell-os-string 2.0.8-90
haskell-pandoc 3.5-5
haskell-pandoc-lua-engine 0.3.3-7
haskell-pandoc-lua-marshal 0.2.9-10
haskell-pandoc-server 0.1.0.9-5
haskell-pandoc-types 1.23.1-159
haskell-pem 0.2.4-387
haskell-pretty-show 1.10-20
haskell-prettyprinter 1.7.1-362
haskell-prettyprinter-ansi-terminal 1.1.3-471
haskell-primitive 0.9.1.0-114
haskell-psqueues 0.2.8.2-52
haskell-quickcheck 2.15.0.1-95
haskell-random 1.2.1.3-181
haskell-recv 0.1.1-72
haskell-regex-base 0.94.0.3-3
haskell-regex-tdfa 1.3.2.5-9
haskell-resourcet 1.2.6-244
haskell-safe 0.3.21-106
haskell-safe-exceptions 0.1.7.4-190
haskell-scientific 0.3.8.0-152
haskell-semialign 1.3.1-54
haskell-semigroupoids 6.0.1-98
haskell-serialise 0.2.6.1-169
haskell-servant 0.20.3.0-46
haskell-servant-server 0.20.3.0-60
haskell-simple-sendfile 0.2.32-191
haskell-singleton-bool 0.1.8-47
haskell-skylighting 0.14.3-18
haskell-skylighting-core 0.14.3-18
haskell-skylighting-format-ansi 0.1-287
haskell-skylighting-format-blaze-html 0.1.1.3-141
haskell-skylighting-format-context 0.1.0.2-251
haskell-skylighting-format-latex 0.1-286
haskell-some 1.0.6-73
haskell-sop-core 0.5.0.2-4
haskell-split 0.2.5-148
haskell-splitmix 0.1.3-8
haskell-statevar 1.2.2-5
haskell-streaming-commons 0.2.3.1-3
haskell-strict 0.5.1-21
haskell-syb 0.7.3-69
haskell-tagged 0.8.9-3
haskell-tagsoup 0.14.8-327
haskell-tasty 1.5.2-70
haskell-temporary 1.3-903
haskell-texmath 0.12.8.11-10
haskell-text-conversions 0.3.1.1-165
haskell-text-icu 0.8.0.5-105
haskell-text-iso8601 0.1.1-55
haskell-text-short 0.1.6-182
haskell-th-abstraction 0.5.0.0-2
haskell-th-compat 0.1.6-84
haskell-th-lift 0.8.6-2
haskell-th-lift-instances 0.1.20-153
haskell-these 1.2.1-230
haskell-time-compat 1.9.8-30
haskell-time-manager 0.0.1-147
haskell-tls 2.0.6-66
haskell-toml-parser 2.0.1.2-64
haskell-transformers-base 0.4.6-270
haskell-transformers-compat 0.7.2-4
haskell-typed-process 0.2.13.0-155
haskell-typst 0.6-14
haskell-typst-symbols 0.1.6-2
haskell-unicode-collation 0.1.3.6-121
haskell-unicode-data 0.6.0-35
haskell-unicode-transforms 0.4.0.1-178
haskell-uniplate 1.6.13-336
haskell-unix-compat 0.7.4.1-47
haskell-unix-time 0.4.17-70
haskell-unliftio 0.2.25.1-90
haskell-unliftio-core 0.2.1.0-4
haskell-unordered-containers 0.2.20.1-19
haskell-utf8-string 1.0.2-257
haskell-uuid-types 1.0.6-227
haskell-vault 0.3.1.5-298
haskell-vector 0.13.2.0-333
haskell-vector-algorithms 0.9.1.0-118
haskell-vector-stream 0.1.0.1-4
haskell-wai 3.2.4-148
haskell-wai-app-static 3.1.9-226
haskell-wai-cors 0.2.7-484
haskell-wai-extra 3.1.18-34
haskell-wai-logger 2.5.0-136
haskell-warp 3.4.0-12
haskell-witherable 0.4.2-231
haskell-word8 0.1.3-25
haskell-xml 1.3.14-33
haskell-xml-conduit 1.9.1.4-145
haskell-xml-types 0.3.8-11
haskell-yaml 0.11.11.2-200
haskell-zip-archive 0.4.3.2-106
haskell-zlib 0.7.0.0-68
haveged 1.9.19-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-2
hslua-cli 1.4.3-84
hunspell 1.7.2-3
hwdata 0.404-1
hwdetect 2025.08.16.1333-1
hwinfo 25.2-1
hyphen 2.8.8-6
i3-wm 4.25.1-1
i3blocks 1.5-4
i3lock 2.16-1
i3status 2.15-1
iana-etc 20260225-2
ibus 1.5.33-3
icu 78.2-2
imagemagick 7.1.2.15-1
imath 3.2.2-3
imlib2 1.12.6-1
inetutils 2.7-2
intel-ucode 20260227-1
inxi 3.3.40.1-1
iproute2 6.19.0-2
iptables-nft 1:1.8.11-2
iputils 20250605-1
iso-codes 4.20.1-1
iwd 3.11-2
jansson 2.15.0-1
jbigkit 2.1-8
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
jq 1.8.1-1
json-c 0.18-2
json-glib 1.10.8-1
kbd 2.9.0-1
kdbusaddons 6.23.0-1
kernel-install-for-dracut 1.14.2-1
keyutils 1.6.3-3
kitemviews 6.23.0-1
kitty 0.45.0-4
kitty-shell-integration 0.45.0-4
kitty-terminfo 0.45.0-4
kmod 34.2-1
krb5 1.21.3-2
kwidgetsaddons 6.23.0-1
kwindowsystem 6.23.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
lcms2 2.18-1
ldb 2:4.23.6-1
leancrypto 1.6.0-1
less 1:692-1
libabw 0.1.3-6
libaio 0.3.113-3
libappindicator 12.10.1-1
libarchive 3.8.5-1
libasan 15.2.1+r604+g0b99615a8aef-1
libass 0.17.4-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-7
libatomic 15.2.1+r604+g0b99615a8aef-1
libatomic_ops 7.8.2-2
libavc1394 0.5.4-7
libavif 1.3.0-5
libavtp 0.2.0-3
libb2 0.98.1-3
libblockdev 3.4.0-2
libblockdev-crypto 3.4.0-2
libblockdev-fs 3.4.0-2
libblockdev-loop 3.4.0-2
libblockdev-mdraid 3.4.0-2
libblockdev-nvme 3.4.0-2
libblockdev-part 3.4.0-2
libblockdev-smart 3.4.0-2
libblockdev-swap 3.4.0-2
libbluray 1.4.0-2
libbpf 1.6.2-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.77-1
libcap-ng 0.9-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-4
libchewing 0.11.0-1
libcloudproviders 0.4.0-1
libcmis 0.6.2-7
libcolord 1.4.8-1
libcups 2:2.4.16-2
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.16-2
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdovi 3.3.2-1
libdrm 2.4.131-1
libdv 1.0.0-11
libdvdcss 1.5.0-1
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libe-book 0.1.3-20
libebur128 1.2.6-2
libedit 20250104_3.1-1
libelf 0.194-1
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-2
libev 4.33-5
libevdev 1.13.6-1
libevent 2.1.12-5
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfdk-aac 2.0.3-1
libffi 3.5.2-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfreehand 0.1.2-6
libgcc 15.2.1+r604+g0b99615a8aef-1
libgccjit 15.2.1+r604+g0b99615a8aef-1
libgcrypt 1.12.1-1
libgfortran 15.2.1+r604+g0b99615a8aef-1
libgirepository 1.86.0-2
libglvnd 1.7.0-3
libgme 0.6.4-1
libgnomekbd 1:3.28.1-2
libgomp 15.2.1+r604+g0b99615a8aef-1
libgpg-error 1.59-1
libgphoto2 2.5.33-1
libgsf 1.14.55-1
libgtop 2.41.3-2
libgudev 238-3
libheif 1.21.2-2
libibus 1.5.33-3
libice 1.1.2-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libime 1.1.13-1
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.30.1-1
libisl 0.27-1
libixion 0.20.0-5
libjpeg-turbo 3.1.3-1
libjxl 0.11.2-2
libksba 1.6.8-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.3-3
libldap 2.6.12-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
