7zip 26.00-1
pkcs11-helper 1.31.0-1
pkgconf 2.5.1-1
pkgfile 25-2
playerctl 2.4.1-5
plocate 1.1.24-1
polkit 127-3
polkit-gnome 0.105-12
poppler 26.02.0-2
poppler-glib 26.02.0-2
popt 1.19-2
portaudio 1:19.7.0-3
power-profiles-daemon 0.30-1
ppp 2.5.2-1
procps-ng 4.0.6-1
psmisc 23.7-1
pv 1.10.3-1
python 3.14.3-1
python-annotated-types 0.7.0-3
python-attrs 25.4.0-3
python-beautifulsoup4 4.14.3-2
python-cairo 1.29.0-2
python-certifi 2026.01.04-1
python-cffi 2.0.0-2
python-chardet 6.0.0.post1-1
python-colorama 0.4.6-6
python-cryptography 46.0.5-2
python-dbus 1.4.0-2
python-defusedxml 0.7.1-8
python-docutils 1:0.22.3-2
python-filelock 3.24.0-1
python-gobject 3.54.5-2
python-h11 0.16.0-2
python-idna 3.11-2
python-jinja 1:3.1.6-3
python-markdown 3.10.2-1
python-markdown-math 0.9-2
python-markups 4.1.1-2
python-markupsafe 3.0.2-2
python-orjson 3.11.7-1
python-outcome 1.3.0.post0-7
python-packaging 26.0-1
python-psutil 7.2.2-1
python-pyaml 24.12.0-2
python-pycparser 2.23-2
python-pydantic 2.12.5-4
python-pydantic-core 3:2.41.5-3
python-pygments 2.19.2-3
python-pyqt6 6.10.2-3
python-pyqt6-sip 13.11.0-1
python-selenium 4.40.0-1
python-setproctitle 1.3.7-2
python-shtab 1.8.0-2
python-sniffio 1.3.1-5
python-sortedcontainers 2.4.0-8
python-soupsieve 2.8.3-1
python-termcolor 3.3.0-1
python-trio 0.33.0-1
python-trio-websocket 0.12.2-4
python-typing-inspection 0.4.2-2
python-typing_extensions 4.15.0-3
python-urllib3 2.6.3-1
python-websocket-client 1.9.0-3
python-wheel 0.46.3-1
python-wsproto 1.2.0-7
python-yaml 6.0.3-2
qrencode 4.1.1-4
qt6-base 6.10.2-1
qt6-declarative 6.10.2-1
qt6-positioning 6.10.2-1
qt6-translations 6.10.2-1
qt6-webchannel 6.10.2-1
qt6-webengine 6.10.2-1
ranger 1.9.4-5
raptor 2.0.16-9
rasqal 1:0.9.33-7
rav1e 0.8.1-2
re2 2:2025.11.05-1
readline 8.3.003-1
rebuild-detector 4.4.5-1
redland 1:1.0.17-9
reflector 2023-5
reflector-simple 2025.10-1
ripgrep 15.1.0-2
rofi 2.0.0-1
rpcbind 1.2.8-1
rsync 3.4.1-2
rtkit 0.14-1
rtmpdump 1:2.6-1
rubberband 4.0.0-1
s-nail 14.9.25-1
sbc 2.2-1
scrot 1.12.1-1
sd 1.1.0-1
sddm 0.21.0-6
sdl2-compat 2.32.64-1
sdl3 3.4.2-1
sed 4.9-3
serd 0.32.8-1
sg3_utils 1.48-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
slang 2.3.3-4
smartmontools 7.5-1
smbclient 2:4.23.6-1
snappy 1.2.2-3
sndio 1.10.0-1
sof-firmware 2025.12.2-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
spandsp 0.0.6-7
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.341.0-2
sqlite 3.51.2-1
sratom 0.6.22-1
srt 1.5.4-1
startup-notification 0.12-9
stoken 0.92-5
sublime-text 4200-1
sudo 1.9.17.p2-2
svt-av1 4.0.1-1
svt-hevc 1.5.1-3
sysfsutils 2.1.1-2
sysstat 12.7.9-1
systemd 259.2-1
systemd-libs 259.2-1
systemd-resolvconf 259.2-1
systemd-sysvcompat 259.2-1
talloc 2.4.4-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.15-1
tevent 1:0.17.1-2
texinfo 7.2-1
thin-provisioning-tools 1.3.1-1
thunar 4.20.7-1
tinysparql 3.10.1-2
tldr 3.4.4-1
tmux 3.6_a-1
tpm2-tss 4.1.3-1
tree-sitter 0.25.10-3
tslib 1.24-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
tumbler 4.20.1-1
tzdata 2025c-1
uchardet 0.0.8-3
udisks2 2.11.0-1
unrar 1:7.2.4-1
unzip 6.0-23
upower 1.91.1-1
usb_modeswitch 2.6.2.20251207-1
usbmuxd 1.1.1-4
usbutils 019-1
util-linux 2.41.3-2
util-linux-libs 2.41.3-2
v4l-utils 1.32.0-2
vapoursynth 73-2
vid.stab 1.1.1-2
vim 9.2.0081-1
vim-runtime 9.2.0081-1
vmaf 3.0.0-2
volume_key 0.3.12-12
vpnc 1:0.5.3.r539.r239-1
vte-common 0.82.3-1
vte3 0.82.3-1
vulkan-icd-loader 1.4.341.0-1
wayland 1.24.0-1
webkit2gtk-4.1 2.50.5-1
webrtc-audio-processing-1 1.3-5
welcome 26.1-1
wget 1.25.0-3
which 2.23-1
wildmidi 0.4.6-1
wireplumber 0.5.13-1
woff2 1.0.2-6
wpa_supplicant 2:2.11-5
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xapp 3.2.2-1
xapp-symbolic-icons 1.0.9-1
xarchiver 0.5.4.26-1
xbindkeys 1.8.7-5
xbitmaps 1.1.3-2
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-4
xcur2png 0.7.1-8
xdg-dbus-proxy 0.1.6-1
xdg-user-dirs 0.19-2
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xed 3.8.9-1
xf86-input-libinput 1.5.0-1
xfconf 4.20.0-2
xfsprogs 6.18.0-1
xkeyboard-config 2.47-1
xl2tpd 1.3.20-1
xmlsec 1.3.9-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.5-1
xorg-xdpyinfo 1.4.0-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xkill 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorgproto 2025.1-1
xreader 4.6.3-1
xss-lock 0.4.0-1
xterm 407-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.2-1
yad 14.2-1
yajl 2.1.0-6
yay 12.5.7-1
zbar 0.23.93-5
zeromq 4.3.5-3
zimg 3.0.6-1
zint 2.16.0-1
zip 3.0-11
zix 0.8.0-1
zlib 1:1.3.2-2
zlib-ng 2.3.3-1
zstd 1.5.7-3
zvbi 0.2.44-1
zxing-cpp 3.0.2-1
